symbol,alert_time,entry_price,volume_24h,chg_open_1d,chg_30m,degraded_confirm,mae_pct,mfe_pct,ret_2h_pct,ret_6h_pct,ret_24h_pct,identity_note
CAPUSDT.P,2026-07-01 22:39:00,0.02508,57415108.3410154,-9.5890410958904,0.51896207584831,False,-15.55023923444976,-3.7480063795853225,0.0,-3.7480063795853225,-15.55023923444976,UNVERIFIED -- not individually checked
SKHYUSDT.P,2026-07-13 16:09:00,152.76,203677574.203761,-8.43922320786383,0.394295853321957,False,-0.759361089290389,6.89971196648338,0.7462686567164312,2.5726630007855578,6.89971196648338,"VERIFIED tokenized equity (SK Hynix SKHYB), NOT a crypto listing -- N6 false positive"
SNXXUSDT.P,2026-07-17 10:28:00,13.92,70007446.6444459,2.88248337028825,4.34131736526946,False,-10.416666666666664,3.735632183908044,-3.3045977011494143,-10.416666666666664,-6.537356321839082,UNVERIFIED -- not individually checked
ZHIPUUSDT.P,2026-07-22 09:04:00,150.66,162447019.159245,-4.35500253936009,1.61453759373099,True,-1.8120270808442809,3.584229390681015,-0.2190362405416035,-0.9491570423470151,3.544404619673447,UNVERIFIED -- not individually checked
GRAMUSDT.P,2026-07-22 17:55:00,1.505,50470146.5890344,-2.65200517464425,0.333111259160567,False,-0.9966777408637828,1.5282392026578109,1.5282392026578109,0.73089700996678,0.5980066445182786,UNVERIFIED -- not individually checked
MUUUSDT.P,2026-07-23 06:37:00,35.46,51520751.8561054,-2.50206213912564,0.510493477027792,False,-2.284263959390864,3.948110547095318,0.7050197405527259,1.212633953750708,2.284263959390876,UNVERIFIED -- not individually checked
SOXSUSDT.P,2026-07-24 14:48:00,46.3,88837261.0965159,3.04918762519474,0.739612790950627,False,-1.3822894168466493,11.38228941684667,0.0,3.3477321814255,9.568034557235428,UNVERIFIED -- not individually checked
GRVTUSDT.P,2026-08-06 17:14:00,0.2862,60719343.5405006,-4.75873544093177,0.350508236943568,False,-1.4325646401118108,5.625436757512237,0.9084556254367548,-0.0698812019566896,4.367575122292111,UNVERIFIED -- not individually checked
DOSUSDT.P,2026-08-20 10:06:00,0.2445,59247505.9736619,-4.00471142520612,0.493015612161054,False,-5.725971370143146,-2.126789366053161,0.0,-2.69938650306748,-5.725971370143146,UNVERIFIED -- not individually checked
UNITREEUSDT.P,2026-08-20 14:46:00,102.66,120969436.156472,-9.53471977440959,0.588292969899018,False,-6.399766218585612,-0.4675628287551081,-4.081433859341511,-4.782778102474183,-2.474186635495801,"VERIFIED tokenized equity (Yushu Technology/UNITREE robotics stock), NOT a crypto listing -- N6 false positive"
NIULAIUSDT.P,2026-09-02 10:22:00,0.0852,144087259.9303078,2.0481494789795227,3.993161558187807,False,-15.399061032863838,4.307511737089209,4.307511737089209,-12.159624413145533,-6.208920187793432,"VERIFIED genuine listing: Binance Futures NIULAI perpetual, launched 2026-08-30 11:30 UTC (Binance Alpha token) -- N1 passes, within 72h"
MARSCOINUSDT.P,2026-09-03 06:24:00,0.06298,92204673.09508242,-5.364387678437272,0.7038873780195326,False,-1.1432200698634376,88.47253096221024,-1.1432200698634376,26.13528104160052,83.3439187043506,VERIFIED genuine listing (see SKILL.md Sec1 case study) -- N1 passes
